"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.18.1.1*"	0.6074869	0.38694	0.82804	16	"British Columbia"
"EG.5.1"	0.15484304	0.10649	0.2032	21	"Canada"
"EG.5.1"	0.13884539	0.08328	0.19441	13	"Ontario"
"XBB.1.18.1*"	0.13078821	0.01872	0.24286	19	"British Columbia"
"EG.1.3"	0.12880976	0.08988	0.16774	24	"Ontario"
"XBB.1.5.20"	0.11978995	0.07208	0.1675	31	"British Columbia"
"XBB.2.3.3"	0.1185112	0.05562	0.18141	11	"Quebec"
"XBB.1.9.2.5*"	0.11503947	0.09483	0.13525	74	"Canada"
"XBB.1.16"	0.11136854	0.05663	0.16611	21	"British Columbia"
"XBB.1.9.2.5*"	0.10644454	0.08635	0.12654	66	"Ontario"
"XBB.1.16.1"	0.10484693	0.07352	0.13617	35	"Quebec"
"EG.5"	0.10357847	0.08232	0.12484	53	"Canada"
"EG.5"	0.10016313	0.07928	0.12105	53	"Ontario"
"XBB.1.5.19"	0.09998999	0.03812	0.16186	14	"British Columbia"
"XBB.1.5.7"	0.09931172	0.03296	0.16566	12	"British Columbia"
"XBB.2.3.11"	0.09715404	0.06176	0.13255	16	"Canada"
"XBB.2.3.5"	0.09611244	0.0732	0.11902	39	"Ontario"
"XBB.2.3.5"	0.09363925	0.07172	0.11556	40	"Canada"
"XBB.1.16*"	0.09319809	0.0525	0.1339	30	"British Columbia"
"FL.5"	0.09051852	0.07394	0.1071	68	"Ontario"
"XBB.1.5.4"	0.08811576	0.05286	0.12338	19	"Quebec"
"XBB.1.16.1*"	0.08535318	0.0613	0.1094	39	"Quebec"
"XBB.2.3.3"	0.08278597	0.04654	0.11903	11	"Ontario"
"XBB.1.9.2"	0.08124347	0.05781	0.10468	25	"Alberta"
"XBB.1.5.25"	0.07986509	0.03815	0.12158	11	"Quebec"
"XBB.1.9*"	0.0787457	NA	NA	11	"New Brunswick"
"XBB.1.9.1*"	0.0787457	NA	NA	11	"New Brunswick"
"XBB.1.16.2"	0.07868343	0.05845	0.09891	37	"Alberta"
"XBB.1.16"	0.07581976	0.06901	0.08263	352	"Ontario"
"XBB.1.16*"	0.07538955	0.06487	0.08591	180	"Quebec"
"XBB.1.16.3"	0.07514025	0.06096	0.08932	66	"Ontario"
"XBB.1.16"	0.07438484	0.06465	0.08412	219	"Alberta"
"XBB.2.3.6"	0.07326163	0.04177	0.10476	12	"Canada"
"XBB.1.16*"	0.07245928	0.06369	0.08123	282	"Alberta"
"XBB.2.3*"	0.07209885	0.06117	0.08303	106	"Ontario"
"XBB.1.16.2"	0.07178981	0.03924	0.10434	15	"Quebec"
"XBB.1.16"	0.07170611	0.06736	0.07606	772	"Canada"
"XBB.1.16"	0.07141027	0.05917	0.08365	115	"Quebec"
"XBB.1.16.3"	0.07076712	0.05783	0.0837	70	"Canada"
"XBB.2.3.2"	0.06829631	0.05209	0.0845	41	"Canada"
"XBB.1.5.37"	0.06732336	0.04872	0.08593	30	"Ontario"
"XBB.1.9.2.1*"	0.06690709	0.05135	0.08247	43	"Ontario"
"XBB.1.16.6"	0.06682095	0.03759	0.09606	12	"Canada"
"FL.3"	0.06659522	0.03382	0.09937	13	"Quebec"
"XBB.2*"	0.06625182	0.05624	0.07627	109	"Ontario"
"XBB.1.16.1"	0.06538829	0.05616	0.07462	127	"Ontario"
"FL.5"	0.06492817	0.04824	0.08162	50	"Quebec"
"XBB.1.16*"	0.06428578	0.06099	0.06758	1214	"Canada"
"XBB.1.5.69"	0.06407538	0.01953	0.10862	16	"British Columbia"
"XBB.1.16.1*"	0.06406188	0.05518	0.07295	133	"Ontario"
"XBB.1.5.28"	0.06380826	0.03552	0.0921	12	"Canada"
"XBB.1.9.2*"	0.06373511	0.04925	0.07822	50	"Alberta"
"XBB.1.9.2*"	0.06353907	0.05606	0.07101	194	"Ontario"
"XBB.1.16.1"	0.06344833	0.05621	0.07069	196	"Canada"
"XBB.1.9.1.1*"	0.06327091	0.04445	0.08209	27	"Canada"
"XBB.1.9.1.3*"	0.06280263	0.04172	0.08388	29	"Quebec"
"XBB.1.5.59"	0.06261728	0.03844	0.08679	16	"Canada"
"XBB.1.16.1*"	0.06236902	0.05548	0.06926	211	"Canada"
"FL.2"	0.062237	0.03831	0.08617	22	"Quebec"
"XBB.1.16*"	0.06202984	0.05755	0.06651	636	"Ontario"
"EU.1.1"	0.06154019	0.04286	0.08022	26	"Ontario"
"XBB.1.5.26.1.1*"	0.06154019	0.04286	0.08022	26	"Ontario"
"XBB.2.3.2"	0.06151306	0.0332	0.08983	11	"Ontario"
"XBB.1.5.26.1*"	0.06138395	0.04307	0.07969	27	"Ontario"
"EG.1"	0.06057864	0.01716	0.104	16	"British Columbia"
"XBB.1.5.37"	0.0603857	0.04092	0.07985	32	"Quebec"
"XBB.1.9.1.2*"	0.05962847	0.03746	0.08179	24	"Quebec"
"XBB.1.9.2.1*"	0.05945195	0.01766	0.10124	17	"British Columbia"
"XBB.2.3*"	0.05944354	0.04783	0.07106	80	"Alberta"
"FL.3.1"	0.05931218	0.03142	0.0872	15	"Quebec"
"FL.5"	0.05896874	0.0516	0.06633	166	"Canada"
"FL.4"	0.05882618	0.04076	0.07689	30	"Alberta"
"XBB.2.3*"	0.0586106	0.04421	0.07302	57	"Quebec"
"XBB.2.3.2"	0.05858439	0.03623	0.08094	23	"Quebec"
"XBB.2.3.3"	0.05842076	0.04781	0.06903	77	"Canada"
"XBB.1.5.26*"	0.05770897	0.04046	0.07496	28	"Ontario"
"XBB.1.5.25"	0.05766397	0.03226	0.08307	13	"Canada"
"FH.1"	0.05699815	0.03491	0.07908	17	"Canada"
"XBB.2.3*"	0.05672922	0.05106	0.0624	274	"Canada"
"XBB.1.5.44"	0.05664042	0.03811	0.07517	24	"Canada"
"XBB.1.9.1.1*"	0.05635848	0.03041	0.08231	16	"Quebec"
"XBB.2.3.3"	0.0559563	0.04202	0.06989	48	"Alberta"
"XBB.1.9.2*"	0.05403762	0.01502	0.09306	18	"British Columbia"
"FL.5"	0.05391985	0.03708	0.07076	31	"Alberta"
"XBB.2.3*"	0.05385088	0.01934	0.08837	23	"British Columbia"
"XBB.2*"	0.05376601	0.04056	0.06697	60	"Quebec"
"XBB.1.5.44"	0.05307226	0.03423	0.07191	21	"Ontario"
"XBB.2*"	0.05225309	0.04695	0.05755	284	"Canada"
"XBB.2*"	0.0521964	0.04163	0.06276	83	"Alberta"
"XBB.1.9.1"	0.05185988	0.02191	0.08181	30	"British Columbia"
"XBB.1.5.37"	0.05175348	0.04159	0.06192	73	"Canada"
"XBB.1.9.2*"	0.051476	0.04699	0.05596	399	"Canada"
"XBB.1.5.26.1*"	0.05137538	0.02432	0.07843	13	"Quebec"
"XBB.1.5.26.1.1*"	0.05137538	0.02432	0.07843	13	"Quebec"
