"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-02-06	"BQ.1"	89	"3%"
2023-02-06	"BQ.1.1"	536	"20%"
2023-02-06	"BQ.1.1.40"	61	"2%"
2023-02-06	"CH.1.1"	36	"1%"
2023-02-06	"DV.1.1"	7	"0%"
2023-02-06	"FD.1.1"	4	"0%"
2023-02-06	"FL.4"	2	"0%"
2023-02-06	"FT.1"	21	"1%"
2023-02-06	"other lineages"	1141	"42%"
2023-02-06	"XBB.1.16"	0	"0%"
2023-02-06	"XBB.1.16.1"	0	"0%"
2023-02-06	"XBB.1.5"	662	"24%"
2023-02-06	"XBB.1.5.1"	2	"0%"
2023-02-06	"XBB.1.5.15"	3	"0%"
2023-02-06	"XBB.1.5.17"	13	"0%"
2023-02-06	"XBB.1.5.2"	8	"0%"
2023-02-06	"XBB.1.5.20"	4	"0%"
2023-02-06	"XBB.1.5.31"	17	"1%"
2023-02-06	"XBB.1.5.32"	21	"1%"
2023-02-06	"XBB.1.5.39"	26	"1%"
2023-02-06	"XBB.1.5.49"	7	"0%"
2023-02-06	"XBB.1.5.50"	5	"0%"
2023-02-06	"XBB.1.5.67"	17	"1%"
2023-02-06	"XBB.1.5.7"	13	"0%"
2023-02-06	"XBB.1.9.1"	3	"0%"
2023-02-06	"XBF"	16	"1%"
2023-02-13	"BQ.1"	88	"3%"
2023-02-13	"BQ.1.1"	501	"18%"
2023-02-13	"BQ.1.1.40"	35	"1%"
2023-02-13	"CH.1.1"	38	"1%"
2023-02-13	"DV.1.1"	17	"1%"
2023-02-13	"FD.1.1"	8	"0%"
2023-02-13	"FL.4"	5	"0%"
2023-02-13	"FT.1"	18	"1%"
2023-02-13	"other lineages"	1066	"39%"
2023-02-13	"XBB.1.16"	0	"0%"
2023-02-13	"XBB.1.16.1"	0	"0%"
2023-02-13	"XBB.1.5"	714	"26%"
2023-02-13	"XBB.1.5.1"	3	"0%"
2023-02-13	"XBB.1.5.15"	10	"0%"
2023-02-13	"XBB.1.5.17"	18	"1%"
2023-02-13	"XBB.1.5.2"	16	"1%"
2023-02-13	"XBB.1.5.20"	2	"0%"
2023-02-13	"XBB.1.5.31"	25	"1%"
2023-02-13	"XBB.1.5.32"	26	"1%"
2023-02-13	"XBB.1.5.39"	33	"1%"
2023-02-13	"XBB.1.5.49"	8	"0%"
2023-02-13	"XBB.1.5.50"	6	"0%"
2023-02-13	"XBB.1.5.67"	17	"1%"
2023-02-13	"XBB.1.5.7"	37	"1%"
2023-02-13	"XBB.1.9.1"	15	"1%"
2023-02-13	"XBF"	15	"1%"
2023-02-20	"BQ.1"	54	"2%"
2023-02-20	"BQ.1.1"	440	"17%"
2023-02-20	"BQ.1.1.40"	35	"1%"
2023-02-20	"CH.1.1"	27	"1%"
2023-02-20	"DV.1.1"	10	"0%"
2023-02-20	"FD.1.1"	12	"0%"
2023-02-20	"FL.4"	9	"0%"
2023-02-20	"FT.1"	9	"0%"
2023-02-20	"other lineages"	922	"35%"
2023-02-20	"XBB.1.16"	1	"0%"
2023-02-20	"XBB.1.16.1"	0	"0%"
2023-02-20	"XBB.1.5"	844	"32%"
2023-02-20	"XBB.1.5.1"	9	"0%"
2023-02-20	"XBB.1.5.15"	13	"0%"
2023-02-20	"XBB.1.5.17"	11	"0%"
2023-02-20	"XBB.1.5.2"	9	"0%"
2023-02-20	"XBB.1.5.20"	11	"0%"
2023-02-20	"XBB.1.5.31"	19	"1%"
2023-02-20	"XBB.1.5.32"	20	"1%"
2023-02-20	"XBB.1.5.39"	51	"2%"
2023-02-20	"XBB.1.5.49"	9	"0%"
2023-02-20	"XBB.1.5.50"	11	"0%"
2023-02-20	"XBB.1.5.67"	10	"0%"
2023-02-20	"XBB.1.5.7"	49	"2%"
2023-02-20	"XBB.1.9.1"	16	"1%"
2023-02-20	"XBF"	19	"1%"
2023-02-27	"BQ.1"	89	"4%"
2023-02-27	"BQ.1.1"	264	"11%"
2023-02-27	"BQ.1.1.40"	19	"1%"
2023-02-27	"CH.1.1"	28	"1%"
2023-02-27	"DV.1.1"	13	"1%"
2023-02-27	"FD.1.1"	19	"1%"
2023-02-27	"FL.4"	7	"0%"
2023-02-27	"FT.1"	45	"2%"
2023-02-27	"other lineages"	683	"29%"
2023-02-27	"XBB.1.16"	1	"0%"
2023-02-27	"XBB.1.16.1"	0	"0%"
2023-02-27	"XBB.1.5"	890	"38%"
2023-02-27	"XBB.1.5.1"	15	"1%"
2023-02-27	"XBB.1.5.15"	19	"1%"
2023-02-27	"XBB.1.5.17"	13	"1%"
2023-02-27	"XBB.1.5.2"	17	"1%"
2023-02-27	"XBB.1.5.20"	16	"1%"
2023-02-27	"XBB.1.5.31"	23	"1%"
2023-02-27	"XBB.1.5.32"	40	"2%"
2023-02-27	"XBB.1.5.39"	48	"2%"
2023-02-27	"XBB.1.5.49"	22	"1%"
2023-02-27	"XBB.1.5.50"	20	"1%"
2023-02-27	"XBB.1.5.67"	15	"1%"
2023-02-27	"XBB.1.5.7"	28	"1%"
2023-02-27	"XBB.1.9.1"	14	"1%"
2023-02-27	"XBF"	23	"1%"
2023-03-06	"BQ.1"	27	"1%"
2023-03-06	"BQ.1.1"	158	"7%"
2023-03-06	"BQ.1.1.40"	19	"1%"
2023-03-06	"CH.1.1"	34	"1%"
2023-03-06	"DV.1.1"	21	"1%"
2023-03-06	"FD.1.1"	28	"1%"
2023-03-06	"FL.4"	14	"1%"
2023-03-06	"FT.1"	21	"1%"
2023-03-06	"other lineages"	593	"26%"
2023-03-06	"XBB.1.16"	2	"0%"
2023-03-06	"XBB.1.16.1"	1	"0%"
2023-03-06	"XBB.1.5"	984	"43%"
2023-03-06	"XBB.1.5.1"	22	"1%"
2023-03-06	"XBB.1.5.15"	25	"1%"
2023-03-06	"XBB.1.5.17"	10	"0%"
2023-03-06	"XBB.1.5.2"	21	"1%"
2023-03-06	"XBB.1.5.20"	14	"1%"
2023-03-06	"XBB.1.5.31"	27	"1%"
2023-03-06	"XBB.1.5.32"	65	"3%"
2023-03-06	"XBB.1.5.39"	59	"3%"
2023-03-06	"XBB.1.5.49"	24	"1%"
2023-03-06	"XBB.1.5.50"	19	"1%"
2023-03-06	"XBB.1.5.67"	24	"1%"
2023-03-06	"XBB.1.5.7"	11	"0%"
2023-03-06	"XBB.1.9.1"	17	"1%"
2023-03-06	"XBF"	53	"2%"
2023-03-13	"BQ.1"	10	"0%"
2023-03-13	"BQ.1.1"	148	"6%"
2023-03-13	"BQ.1.1.40"	18	"1%"
2023-03-13	"CH.1.1"	40	"2%"
2023-03-13	"DV.1.1"	34	"1%"
2023-03-13	"FD.1.1"	33	"1%"
2023-03-13	"FL.4"	8	"0%"
2023-03-13	"FT.1"	59	"2%"
2023-03-13	"other lineages"	685	"26%"
2023-03-13	"XBB.1.16"	10	"0%"
2023-03-13	"XBB.1.16.1"	2	"0%"
2023-03-13	"XBB.1.5"	1147	"44%"
2023-03-13	"XBB.1.5.1"	20	"1%"
2023-03-13	"XBB.1.5.15"	19	"1%"
2023-03-13	"XBB.1.5.17"	24	"1%"
2023-03-13	"XBB.1.5.2"	15	"1%"
2023-03-13	"XBB.1.5.20"	22	"1%"
2023-03-13	"XBB.1.5.31"	31	"1%"
2023-03-13	"XBB.1.5.32"	82	"3%"
2023-03-13	"XBB.1.5.39"	40	"2%"
2023-03-13	"XBB.1.5.49"	17	"1%"
2023-03-13	"XBB.1.5.50"	25	"1%"
2023-03-13	"XBB.1.5.67"	12	"0%"
2023-03-13	"XBB.1.5.7"	16	"1%"
2023-03-13	"XBB.1.9.1"	49	"2%"
2023-03-13	"XBF"	27	"1%"
2023-03-20	"BQ.1"	5	"0%"
2023-03-20	"BQ.1.1"	110	"5%"
2023-03-20	"BQ.1.1.40"	11	"0%"
2023-03-20	"CH.1.1"	15	"1%"
2023-03-20	"DV.1.1"	24	"1%"
2023-03-20	"FD.1.1"	43	"2%"
2023-03-20	"FL.4"	25	"1%"
2023-03-20	"FT.1"	26	"1%"
2023-03-20	"other lineages"	635	"26%"
2023-03-20	"XBB.1.16"	11	"0%"
2023-03-20	"XBB.1.16.1"	6	"0%"
2023-03-20	"XBB.1.5"	1125	"46%"
2023-03-20	"XBB.1.5.1"	40	"2%"
2023-03-20	"XBB.1.5.15"	12	"0%"
2023-03-20	"XBB.1.5.17"	35	"1%"
2023-03-20	"XBB.1.5.2"	33	"1%"
2023-03-20	"XBB.1.5.20"	22	"1%"
2023-03-20	"XBB.1.5.31"	24	"1%"
2023-03-20	"XBB.1.5.32"	68	"3%"
2023-03-20	"XBB.1.5.39"	15	"1%"
2023-03-20	"XBB.1.5.49"	14	"1%"
2023-03-20	"XBB.1.5.50"	27	"1%"
2023-03-20	"XBB.1.5.67"	10	"0%"
2023-03-20	"XBB.1.5.7"	29	"1%"
2023-03-20	"XBB.1.9.1"	33	"1%"
2023-03-20	"XBF"	24	"1%"
2023-03-27	"BQ.1"	12	"1%"
2023-03-27	"BQ.1.1"	88	"4%"
2023-03-27	"BQ.1.1.40"	5	"0%"
2023-03-27	"CH.1.1"	22	"1%"
